name,address,type,place,description,website_url,menu_url,gift_card_website,contact_website,gift_card_txt,contact_txt
Miguelito's  Mexican Restaurant,"17664 Adelanto Rd, Adelanto, CA 92301",Mexican,adelanto,,,http://places.singleplatform.com/miguelitos-family-restaurant/menu?ref=google,,http://www.singleplatform.com/menu-lp?ref=google&sp_source=publisher&sp_campaign=google&sp_channel=viral,,
ThaiSiam Restaurant,"11691 Bartlett Ave, Adelanto, CA 92301",Thai,adelanto,,,,,,,
Bravo Burgers,"16880 Sportsman Center, Adelanto, CA 92301",Hamburger,adelanto,"Long-running fast-food chain serving American & Mexican eats, from burgers to tacos, plus breakfast.",,,,,,
Rubio's,"14148 US-395, Adelanto, CA 92301",Seafood,adelanto,Beach-themed chain known for Baja-style fish tacos & Mexican-inspired seafood entrees.,https://www.rubios.com/store-locations/california/adelanto/adelanto?utm_source=gmb&utm_medium=websitelink,https://www.rubios.com/menu,/buy-gift-cards,/contact-us,Gift Cards,Contact Us
Cross Eyed Cow Pizza,"19242 National Trails Hwy, Oro Grande, CA 92368",Pizza,adelanto,,http://www.crosseyedcowpizza.com/,,,http://www.crosseyedcowpizza.com/contact-us/,,Contact Us
Yoly's Taqueria & Pupuseria,"17760 Adelanto Rd, Adelanto, CA 92301",Latin American,adelanto,,https://yolys-taqueria-pupuseria.business.site/,,,,,Contact
Oaxaca Cafe,"312854103, Adelanto, CA 92301",Mexican,adelanto,,,,,,,
Saul's Restaurant,"11720 Bartlett Ave #1705, Adelanto, CA 92301",Mexican,adelanto,,,,,,,
Fresco Grill  Mexican Restaurant,"11416 Chamberlaine Way, Adelanto, CA 92301",Mexican,adelanto,,http://ilovefrescogrill.com/,http://www.ilovefrescogrill.com/menu/,,,,
Carl's Jr,"14292 US-395, Adelanto, CA 92301",Fast Food,adelanto,"Fast-food chain known for its variety of piled-high burgers & meal combos, plus shakes.",https://www.carlsjr.com/?utm_source=Yext&utm_medium=Visit%20Website&utm_campaign=Homepage,https://www.carlsjr.com/menu?utm_source=Yext&utm_medium=Visit%20Website&utm_campaign=Menu,https://carlsjr.ourgiftcards.com/,https://www.carlsjr.com/contact,"

",Contact Us
Fresh Wok,"Adelanto, CA 92301",Chinese,adelanto,Simple counter-serve restaurant with familiar Chinese eats such as orange chicken & chow mein.,http://www.freshwok.net/htmlPages/location.html,,,,,
Louisiana Fried Chicken,"11965 Cactus Rd suite e, Adelanto, CA 92301",Chicken,adelanto,Louisiana-style fried chicken is the specialty of this fast-food chain also serving Southern sides.,https://louisianafriedchickenhq.com/locations/,,,,,
Denny's,"14240 US-395, Adelanto, CA 92301",Diner,adelanto,"Casual diner chain dishing up classic American comfort fare, including all-day breakfast favorites.",https://locations.dennys.com/CA/ADELANTO/247840?utm_source=yext&utm_medium=local-listing&utm_campaign=yext-listing,https://www.dennys.com/food/,https://www.dennys.com/gift-cards/,https://www.dennys.com/contact/,Gift Cards,Contact Us
